,s1,s2,p-value
8134,KVUE,RL,0
9900,VLTO,VRTX,0
9899,VLTO,VRSN,0
9898,VLTO,VRSK,0
9897,VLTO,VMC,0
8142,KVUE,RVTY,0
8143,KVUE,SBAC,0
8144,KVUE,SBUX,0
8145,KVUE,SCHW,0
8146,KVUE,SEDG,0
8147,KVUE,SEE,0
8148,KVUE,SHW,0
8149,KVUE,SJM,0
8150,KVUE,SLB,0
8151,KVUE,SNA,0
8141,KVUE,RTX,0
8152,KVUE,SNPS,0
8154,KVUE,SPG,0
8155,KVUE,SPGI,0
8156,KVUE,SRE,0
8157,KVUE,STE,0
8158,KVUE,STLD,0
8159,KVUE,STT,0
8160,KVUE,STX,0
8161,KVUE,STZ,0
8162,KVUE,SWK,0
8163,KVUE,SWKS,0
8164,KVUE,SYF,0
8165,KVUE,SYK,0
8166,KVUE,SYY,0
8167,KVUE,T,0
8153,KVUE,SO,0
9901,VLTO,VTR,0
9902,VLTO,VTRS,0
9903,VLTO,VZ,0
8123,KVUE,PWR,0
8216,KVUE,WBD,0
9917,VLTO,WRK,0
9916,VLTO,WRB,0
8125,KVUE,PYPL,0
8126,KVUE,QCOM,0
8127,KVUE,QRVO,0
9915,VLTO,WMT,0
8128,KVUE,RCL,0
9914,VLTO,WMB,0
8129,KVUE,REG,0
9913,VLTO,WM,0
9912,VLTO,WHR,0
8130,KVUE,REGN,0
8131,KVUE,RF,0
9911,VLTO,WFC,0
9910,VLTO,WELL,0
8140,KVUE,RSG,0
8139,KVUE,ROST,0
8138,KVUE,ROP,0
9904,VLTO,WAB,0
8137,KVUE,ROL,0
8136,KVUE,ROK,0
8168,KVUE,TAP,0
8135,KVUE,RMD,0
8133,KVUE,RJF,0
9906,VLTO,WBA,0
9907,VLTO,WBD,0
9908,VLTO,WDC,0
8132,KVUE,RHI,0
9909,VLTO,WEC,0
9905,VLTO,WAT,0
8169,KVUE,TDG,0
8170,KVUE,TDY,0
8171,KVUE,TECH,0
8196,KVUE,ULTA,0
8197,KVUE,UNH,0
8228,KVUE,WTW,0
8227,KVUE,WST,0
8198,KVUE,UNP,0
8199,KVUE,UPS,0
8200,KVUE,URI,0
8201,KVUE,USB,0
8202,KVUE,V,0
8203,KVUE,VFC,0
8204,KVUE,VICI,0
8205,KVUE,VLO,0
8206,KVUE,VMC,0
8226,KVUE,WRK,0
8225,KVUE,WRB,0
8207,KVUE,VRSK,0
8224,KVUE,WMT,0
8215,KVUE,WBA,0
8214,KVUE,WAT,0
8218,KVUE,WEC,0
8219,KVUE,WELL,0
8213,KVUE,WAB,0
8220,KVUE,WFC,0
8229,KVUE,WY,0
8221,KVUE,WHR,0
8211,KVUE,VTRS,0
8222,KVUE,WM,0
8223,KVUE,WMB,0
8210,KVUE,VTR,0
8209,KVUE,VRTX,0
8208,KVUE,VRSN,0
8212,KVUE,VZ,0
8122,KVUE,PTC,0
8230,KVUE,WYNN,0
8195,KVUE,UHS,0
8172,KVUE,TEL,0
8173,KVUE,TER,0
8174,KVUE,TFC,0
8175,KVUE,TFX,0
8176,KVUE,TGT,0
8177,KVUE,TJX,0
8178,KVUE,TMO,0
8239,KVUE,ZTS,0
8179,KVUE,TMUS,0
8238,KVUE,ZION,0
8180,KVUE,TPR,0
8181,KVUE,TRGP,0
8237,KVUE,ZBRA,0
8182,KVUE,TRMB,0
8183,KVUE,TROW,0
8184,KVUE,TRV,0
8185,KVUE,TSCO,0
8194,KVUE,UDR,0
8193,KVUE,UAL,0
8232,KVUE,XOM,0
8192,KVUE,TYL,0
8191,KVUE,TXT,0
8190,KVUE,TXN,0
8231,KVUE,XEL,0
8189,KVUE,TTWO,0
8188,KVUE,TT,0
8234,KVUE,XYL,0
8187,KVUE,TSN,0
8235,KVUE,YUM,0
8186,KVUE,TSLA,0
8236,KVUE,ZBH,0
8233,KVUE,XRAY,0
8121,KVUE,PSX,0
8124,KVUE,PXD,0
8120,KVUE,PSA,0
8044,KVUE,MKTX,0
8045,KVUE,MLM,0
8046,KVUE,MMC,0
8047,KVUE,MMM,0
8048,KVUE,MNST,0
8049,KVUE,MO,0
8050,KVUE,MOH,0
8051,KVUE,MOS,0
8052,KVUE,MPC,0
8053,KVUE,MPWR,0
8054,KVUE,MRK,0
8055,KVUE,MRNA,0
8056,KVUE,MRO,0
8043,KVUE,MKC,0
8057,KVUE,MS,0
8059,KVUE,MSFT,0
8060,KVUE,MSI,0
8061,KVUE,MTB,0
8062,KVUE,MTCH,0
8063,KVUE,MTD,0
8064,KVUE,MU,0
8065,KVUE,NCLH,0
8066,KVUE,NDAQ,0
9918,VLTO,WST,0
8068,KVUE,NEE,0
8069,KVUE,NEM,0
8070,KVUE,NFLX,0
8071,KVUE,NI,0
8058,KVUE,MSCI,0
8042,KVUE,MHK,0
8041,KVUE,MGM,0
8040,KVUE,META,0
8011,KVUE,L,0
8012,KVUE,LDOS,0
8013,KVUE,LEN,0
8014,KVUE,LH,0
8015,KVUE,LHX,0
8016,KVUE,LIN,0
8017,KVUE,LKQ,0
8018,KVUE,LLY,0
8019,KVUE,LMT,0
8020,KVUE,LNT,0
8021,KVUE,LOW,0
8022,KVUE,LRCX,0
8023,KVUE,LULU,0
8024,KVUE,LUV,0
8025,KVUE,LVS,0
8026,KVUE,LW,0
8027,KVUE,LYB,0
8028,KVUE,LYV,0
8029,KVUE,MA,0
8030,KVUE,MAA,0
8031,KVUE,MAR,0
8032,KVUE,MAS,0
8033,KVUE,MCD,0
8034,KVUE,MCHP,0
8035,KVUE,MCK,0
8036,KVUE,MCO,0
8037,KVUE,MDLZ,0
8038,KVUE,MDT,0
8039,KVUE,MET,0
8072,KVUE,NKE,0
8073,KVUE,NOC,0
8067,KVUE,NDSN,0
8074,KVUE,NOW,0
8099,KVUE,PCG,0
8100,KVUE,PEAK,0
8101,KVUE,PEG,0
8102,KVUE,PEP,0
9926,VLTO,YUM,0
8104,KVUE,PFG,0
8105,KVUE,PG,0
8106,KVUE,PGR,0
9925,VLTO,XYL,0
8107,KVUE,PH,0
8108,KVUE,PHM,0
8109,KVUE,PKG,0
8110,KVUE,PLD,0
8098,KVUE,PCAR,0
8111,KVUE,PM,0
9923,VLTO,XOM,0
9922,VLTO,XEL,0
8112,KVUE,PNC,0
8113,KVUE,PNR,0
9921,VLTO,WYNN,0
9920,VLTO,WY,0
9919,VLTO,WTW,0
8114,KVUE,PNW,0
8115,KVUE,PODD,0
8116,KVUE,POOL,0
8117,KVUE,PPG,0
8118,KVUE,PPL,0
8119,KVUE,PRU,0
9924,VLTO,XRAY,0
9927,VLTO,ZBH,0
8103,KVUE,PFE,0
8096,KVUE,PAYC,0
8075,KVUE,NRG,0
8076,KVUE,NSC,0
8077,KVUE,NTAP,0
8078,KVUE,NTRS,0
8079,KVUE,NUE,0
8080,KVUE,NVDA,0
8097,KVUE,PAYX,0
8082,KVUE,NWS,0
8083,KVUE,NWSA,0
8084,KVUE,NXPI,0
8085,KVUE,O,0
8086,KVUE,ODFL,0
8087,KVUE,OKE,0
8088,KVUE,OMC,0
8081,KVUE,NVR,0
8090,KVUE,ORCL,0
9928,VLTO,ZBRA,0
8089,KVUE,ON,0
8094,KVUE,PANW,0
8093,KVUE,OXY,0
9929,VLTO,ZION,0
8095,KVUE,PARA,0
8217,KVUE,WDC,0
9930,VLTO,ZTS,0
8092,KVUE,OTIS,0
8091,KVUE,ORLY,0
5061,EQIX,SPGI,1.22E-07
2188,C,GEHC,2.91E-07
5039,EQIX,MCO,1.04E-06
3528,CRM,SPGI,1.57E-06
7533,KEY,MSCI,5.71E-06
7006,HIG,LIN,5.97E-06
6972,HIG,HLT,8.27E-06
3449,CRM,MCO,8.31E-06
3364,CRM,EQIX,1.53E-05
4513,ED,IFF,1.54E-05
9413,REG,WY,1.60E-05
3568,CRM,WFC,1.67E-05
923,AMCR,PARA,1.76E-05
6735,HBAN,KIM,2.04E-05
6481,GS,IDXX,2.06E-05
5839,FITB,REG,2.33E-05
1535,ATO,HPQ,2.57E-05
9363,PSA,SJM,2.64E-05
5703,FITB,ITW,2.96E-05
6855,HBAN,REG,3.03E-05
8881,NI,VICI,3.26E-05
5648,FITB,FRT,3.26E-05
2792,CHRW,KR,3.55E-05
5880,FITB,TEL,3.70E-05
1153,ANSS,LUV,3.99E-05
7094,HIG,TDG,4.19E-05
3197,COP,J,4.48E-05
9089,PFG,TEL,4.64E-05
5716,FITB,KIM,4.97E-05
8007,KR,WYNN,4.99E-05
4963,EMN,IDXX,5.93E-05
3401,CRM,HIG,5.94E-05
9361,PSA,SEDG,5.99E-05
