,s1,s2,p-value
3613,KVUE,SYF,0
3571,KVUE,PTC,0
3572,KVUE,PWR,0
3573,KVUE,PXD,0
3574,KVUE,PYPL,0
3575,KVUE,QCOM,0
3576,KVUE,QRVO,0
3577,KVUE,RCL,0
3578,KVUE,REG,0
3579,KVUE,REGN,0
3580,KVUE,RF,0
3581,KVUE,RHI,0
3582,KVUE,RJF,0
3583,KVUE,RL,0
3584,KVUE,RMD,0
3585,KVUE,ROK,0
3586,KVUE,ROL,0
3587,KVUE,ROP,0
3570,KVUE,PSX,0
3569,KVUE,PSA,0
3568,KVUE,PRU,0
3567,KVUE,PPL,0
3549,KVUE,PEAK,0
3550,KVUE,PEG,0
3551,KVUE,PEP,0
3552,KVUE,PFE,0
3553,KVUE,PFG,0
3554,KVUE,PG,0
3555,KVUE,PGR,0
3556,KVUE,PH,0
3588,KVUE,ROST,0
3557,KVUE,PHM,0
3559,KVUE,PLD,0
3560,KVUE,PM,0
3561,KVUE,PNC,0
3562,KVUE,PNR,0
3563,KVUE,PNW,0
3564,KVUE,PODD,0
3565,KVUE,POOL,0
3566,KVUE,PPG,0
3558,KVUE,PKG,0
3548,KVUE,PCG,0
3589,KVUE,RSG,0
3591,KVUE,RVTY,0
3614,KVUE,SYK,0
3615,KVUE,SYY,0
3616,KVUE,T,0
3617,KVUE,TAP,0
3618,KVUE,TDG,0
3619,KVUE,TDY,0
3620,KVUE,TECH,0
3621,KVUE,TEL,0
3622,KVUE,TER,0
3623,KVUE,TFC,0
3624,KVUE,TFX,0
3625,KVUE,TGT,0
3626,KVUE,TJX,0
3627,KVUE,TMO,0
3628,KVUE,TMUS,0
3629,KVUE,TPR,0
3630,KVUE,TRGP,0
3509,KVUE,MSI,0
3612,KVUE,SWKS,0
3611,KVUE,SWK,0
3610,KVUE,STZ,0
3592,KVUE,SBAC,0
3593,KVUE,SBUX,0
3594,KVUE,SCHW,0
3595,KVUE,SEDG,0
3596,KVUE,SEE,0
3597,KVUE,SHW,0
3598,KVUE,SJM,0
3599,KVUE,SLB,0
3590,KVUE,RTX,0
3600,KVUE,SNA,0
3602,KVUE,SO,0
3603,KVUE,SPG,0
3604,KVUE,SPGI,0
3605,KVUE,SRE,0
3606,KVUE,STE,0
3607,KVUE,STLD,0
3608,KVUE,STT,0
3609,KVUE,STX,0
3601,KVUE,SNPS,0
3547,KVUE,PCAR,0
3546,KVUE,PAYX,0
3545,KVUE,PAYC,0
3494,KVUE,MLM,0
3493,KVUE,MKTX,0
3492,KVUE,MKC,0
3491,KVUE,MHK,0
3490,KVUE,MGM,0
3489,KVUE,META,0
3488,KVUE,MET,0
3487,KVUE,MDT,0
3486,KVUE,MDLZ,0
3485,KVUE,MCO,0
3484,KVUE,MCK,0
3519,KVUE,NFLX,0
3483,KVUE,MCHP,0
3482,KVUE,MCD,0
3520,KVUE,NI,0
3481,KVUE,MAS,0
3480,KVUE,MAR,0
3495,KVUE,MMC,0
3518,KVUE,NEM,0
3496,KVUE,MMM,0
3517,KVUE,NEE,0
3510,KVUE,MTB,0
3507,KVUE,MSCI,0
3506,KVUE,MS,0
3511,KVUE,MTCH,0
3505,KVUE,MRO,0
3504,KVUE,MRNA,0
3503,KVUE,MRK,0
3502,KVUE,MPWR,0
3479,KVUE,MAA,0
3501,KVUE,MPC,0
3499,KVUE,MOH,0
3498,KVUE,MO,0
3512,KVUE,MTD,0
3513,KVUE,MU,0
3514,KVUE,NCLH,0
3515,KVUE,NDAQ,0
3497,KVUE,MNST,0
3516,KVUE,NDSN,0
3500,KVUE,MOS,0
3478,KVUE,MA,0
3477,KVUE,LYV,0
3521,KVUE,NKE,0
3527,KVUE,NTRS,0
3528,KVUE,NUE,0
3529,KVUE,NVDA,0
3530,KVUE,NVR,0
3531,KVUE,NWS,0
3532,KVUE,NWSA,0
3533,KVUE,NXPI,0
3534,KVUE,O,0
3460,KVUE,L,0
3535,KVUE,ODFL,0
3537,KVUE,OMC,0
3538,KVUE,ON,0
3539,KVUE,ORCL,0
3540,KVUE,ORLY,0
3541,KVUE,OTIS,0
3542,KVUE,OXY,0
3543,KVUE,PANW,0
3544,KVUE,PARA,0
3536,KVUE,OKE,0
3631,KVUE,TRMB,0
3461,KVUE,LDOS,0
3463,KVUE,LH,0
3476,KVUE,LYB,0
3475,KVUE,LW,0
3474,KVUE,LVS,0
3473,KVUE,LUV,0
3522,KVUE,NOC,0
3523,KVUE,NOW,0
3472,KVUE,LULU,0
3471,KVUE,LRCX,0
3462,KVUE,LEN,0
3470,KVUE,LOW,0
3468,KVUE,LMT,0
3467,KVUE,LLY,0
3524,KVUE,NRG,0
3525,KVUE,NSC,0
3526,KVUE,NTAP,0
3466,KVUE,LKQ,0
3465,KVUE,LIN,0
3464,KVUE,LHX,0
3469,KVUE,LNT,0
3632,KVUE,TROW,0
3508,KVUE,MSFT,0
4547,VLTO,YUM,0
4523,VLTO,VTRS,0
4538,VLTO,WRK,0
3674,KVUE,WRB,0
3673,KVUE,WMT,0
4546,VLTO,XYL,0
4522,VLTO,VTR,0
4521,VLTO,VRTX,0
3687,KVUE,ZION,0
4539,VLTO,WST,0
3688,KVUE,ZTS,0
3675,KVUE,WRK,0
4520,VLTO,VRSN,0
4519,VLTO,VRSK,0
4518,VLTO,VMC,0
3672,KVUE,WMB,0
3671,KVUE,WM,0
3670,KVUE,WHR,0
4540,VLTO,WTW,0
3669,KVUE,WFC,0
3681,KVUE,XOM,0
4541,VLTO,WY,0
3668,KVUE,WELL,0
4549,VLTO,ZBRA,0
3686,KVUE,ZBRA,0
4524,VLTO,VZ,0
4525,VLTO,WAB,0
4533,VLTO,WHR,0
4551,VLTO,ZTS,0
4532,VLTO,WFC,0
3680,KVUE,XEL,0
3679,KVUE,WYNN,0
4531,VLTO,WELL,0
4530,VLTO,WEC,0
3678,KVUE,WY,0
4534,VLTO,WM,0
